tipo,sequencial,especificação,fonte,dotação inicial (D),dotação atualizada (E),despesas empenhadas (F),despesas liquidadas (G),despesas pagas (H),saldo de dotação (I) = F - E
DESPESAS ORÇAMENTÁRIAS,1,DESPESAS CORRENTES,-,"2.542.534.008,00","2.812.127.968,00","2.704.072.649,89","2.661.554.872,82","2.504.497.871,96","-108.055.318,11"
DESPESAS ORÇAMENTÁRIAS,1.1,Pessoal e Encargos Sociais,1,"1.653.616.429,00","1.543.541.151,00","1.538.297.864,07","1.538.297.864,07","1.423.381.604,06","-5.243.286,93"
DESPESAS ORÇAMENTÁRIAS,1.2,Pessoal e Encargos Sociais,4,"196.258.824,00","398.099.023,00","368.474.291,17","368.474.291,17","346.725.488,31","-29.624.731,83"
DESPESAS ORÇAMENTÁRIAS,1.3,Pessoal e Encargos Sociais,44,-,"80.000.000,00","80.000.000,00","80.000.000,00","79.901.232,99",-
DESPESAS ORÇAMENTÁRIAS,1.4,Outras Despesas Correntes,1,"458.917.589,00","480.817.804,00","426.046.080,13","394.437.048,97","389.062.817,12","-54.771.723,87"
DESPESAS ORÇAMENTÁRIAS,1.5,Outras Despesas Correntes,4,"233.741.166,00","298.669.990,00","285.250.533,55","274.990.603,44","260.080.925,91","-13.419.456,45"
DESPESAS ORÇAMENTÁRIAS,1.6,Outras Despesas Correntes,5,-,"11.000.000,00","6.003.880,97","5.355.065,17","5.345.803,57","-4.996.119,03"
DESPESAS ORÇAMENTÁRIAS,2,DESPESAS DE CAPITAL,-,"180.000.010,00","60.705.073,00","47.982.453,06","36.711.864,20","33.688.251,98",-
DESPESAS ORÇAMENTÁRIAS,2.1,Investimentos,1,"10,00","28.175.073,00","23.104.494,39","20.726.654,50","20.424.181,55","-12.722.619,94"
DESPESAS ORÇAMENTÁRIAS,2.2,Investimentos,4,"150.000.000,00","8.530.000,00","4.486.282,01","4.384.251,81","4.363.079,21","-5.070.578,61"
DESPESAS ORÇAMENTÁRIAS,2.3,Investimentos,5,"30.000.000,00","24.000.000,00","20.391.676,66","11.600.957,89","8.900.991,22","-4.043.717,99"
DESPESAS ORÇAMENTÁRIAS,SUBTOTAL,SUBTOTAL DAS DESPESAS (VI),-,"2.722.534.018,00","2.872.833.041,00","2.752.055.102,95","2.698.266.737,02","2.538.186.123,94","-3.608.323,34"
DESPESAS ORÇAMENTÁRIAS,SUPERAVIT,SUPERÁVIT (VII),-,-,-,-,-,-,-
DESPESAS ORÇAMENTÁRIAS,TOTAL,TOTAL (VII) = (VI + VII),-,"2.722.534.018,00","2.872.833.041,00","2.752.055.102,95","2.698.266.737,02","2.538.186.123,94","-120.777.938,05"